id,programCardDuration,programPreviewDuration,formattedApplicationFee,formattedTuition,formattedCostOfLiving,slug,name,shortName,programLevel,programSummary,requirements,school
254818,1 month - 1 year 2 months,1-60 week ESL program,$0 AUD,"$9,536 USD / Year","$24,505 AUD / Year",general-english-0101937-a4021f59-f5ae-4bdd-85c0-81f20c1eb0b0,General English (0101937),General English,English as Second Language (ESL),"<h4></h4><div><div>General English focuses on ‘everyday English’ which is very</div><div>important for daily interaction, travel and socialising. ‘Everyday’</div><div>English includes phrasal verbs and expressions as well as</div><div>grammar and vocabulary. The ability to be able to communicate</div><div>and make friends using English is essential in all aspects of life</div><div>not just for enjoyment. For example, successful group work at</div><div>university and networking in a professional career in English</div><div>requires a good understanding of general English.</div><div><br></div><div>Students studying General English will experience a dynamic</div><div>and interactive learning environment. The mix of nationalities</div><div>and cultures from all over the world ensures that skills in</div><div>international communication are developed in every lesson.</div><div>General English challenges and encourages students to use their</div><div>English in the classroom and in real life.&nbsp;</div></div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 10'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2037', 'name': 'Navitas English - Perth', 'slug': 'navitas-english-perth', 'location': 'Northbridge, Western Australia, AU', 'logo': 'https://photos.applyboard.com/schools/000/002/037/logos/small/Navitas-English-Logo-Nov2021.png?1637616356', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/016/386/photos/optimized/NAMV211220-1347_Aggregator_Assets_Gallery_NAVE_Image_1.webp?1659727321'}"
266490,1 - 3 months,4 - 12 week ESL program,$0 AUD,"$3,076 USD / Year","$24,505 AUD / Year",active-conversation-in-english-ace-099478k,Active Conversation in English (ACE) (099478K),Active Conversation in English,English as Second Language (ESL),"<div style=""text-align:justify"">This course focuses on building students confidence in speaking about any topic. Teachers use role plays, acting and singing activities, oral presentations, pronunciation and group work activities to help students achieve their full potential. Guest speakers are often invited and students project manage fundraising activities to boost their ability to communicate.&nbsp; In the Active Conversation in English course students:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">Perform in role plays and learn the importance of body language</li><li style=""text-align:justify"">Improve their speaking skills with specialized pronunciation lessons</li><li style=""text-align:justify"">Prepare for and deliver powerful and convincing oral presentations</li><li style=""text-align:justify"">Improve their fluency using new vocabulary on different topics</li><li style=""text-align:justify"">Plan and organize special events with peers</li><li style=""text-align:justify"">Listen to inspirational TED Talks and discuss/debate in groups</li><li style=""text-align:justify"">Improve voice control and intonation with singing</li></ul><div style=""text-align:justify"">&nbsp;</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">All students are tested by the English Management team on their first day and each student is informed of their current English level. Each student’s strengths and weaknesses are discussed and then placed in the ideal class for student’s learning. The class teacher also receives a copy of the student’s English test and is advised of student’s strengths and weaknesses, background, goals and is well prepared for the student’s first lesson.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2146', 'name': 'Universal English', 'slug': 'universal-english', 'location': 'Melbourne, Victoria, AU', 'logo': 'https://photos.applyboard.com/schools/000/002/146/logos/small/Universal_English_Logo_March_2022.png?1648493328', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/017/203/photos/optimized/Univeral_-_Lounge_-_April_2022.webp?1659728433'}"
291420,3 months,3 month ESL + demi-pair program,$0 AUD,$0 USD / Year,"$24,505 AUD / Year",english-demi-pair-291420,English + Demi-Pair,English - Demi-Pair,English as Second Language (ESL),"<div>Demi-pairs provide 15 hours of childcare and home assistance in return for free accommodation and three meals per day. Typically, demi-pairs help around the house in the evenings and mornings and study at Lexis during the day. Weekends are free time to enjoy as you would like.</div><div><br></div><div>Different families have different requirements; some need more help with children, some with housework. Lexis English will do their very best to find the best possible match for demi-pairs and families! Lexis English and their partner demi-pair agency will make sure that students receive all the training and support they need to make the most of their time as a demi-pair.</div><div><br></div><div>The demi-pair program can be combined with any English or Training course at Lexis, either full or part time. To take part in the English + Demi-pair program, students will need at least a pre-intermediate level of English.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 10'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2377', 'name': 'LEXIS Education - Sunshine Coast', 'slug': 'lexis-education-sunshine-coast', 'location': 'Maroochydore, Queensland, AU', 'logo': 'https://photos.applyboard.com/schools/000/002/377/logos/small/Lexis_Education_logo.png?1681136485', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/019/131/photos/optimized/Lexis-Education-Sunshine-Coast-Location-mar2023.webp?1681136498'}"
54845,1 month - 1 year 7 months,1-19 month ESL program,$0 AUD,"$5,127 USD / Year","$24,505 AUD / Year",general-english-59c0f170-9aa0-4210-90eb-25e6aedcbf64,General English,General English,English as Second Language (ESL),"<h4 title="""">Program Description</h4><div>Stanley College's General English course provides students with the opportunity to develop useful English language and literacy skills which they can use to undertake a variety of English language skills tests, further their education and training and actively participate in an English speaking community. The aims of this course are to:</div><div>&nbsp;</div><ul><li>Improve general proficiency of students in their knowledge and understanding of English, in the skills of reading, writing, speaking and listening.</li><li>Improve student’s general every-day usage of English in different contexts, including in the community and workplace.</li><li>Provide students with strategies to participate in learning activities outside of the classroom, to actively participate in further study and learning contexts.</li><li>To enable students to study toward a specific goal- whether it be to participate in the IELTS. TOEIC, Cambridge FCE or other applicable tests.</li></ul><p><br></p><p>This course consists of 5 levels. Students will be placed in a level based on proficiency level testing at orientations.<br></p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 10'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1249', 'name': 'Stanley College - West Perth', 'slug': 'stanley-college-west-perth', 'location': 'Perth, Western Australia, AU', 'logo': 'https://photos.applyboard.com/schools/000/001/249/logos/small/logo_template.png?1566313774', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/010/416/photos/optimized/Stanley-College-West-Perth-Offices-July2020.webp?1659718490'}"
285043,1 - 11 months,5 to 50 week General English program,$0 AUD,"$3,461 USD / Year","$24,505 AUD / Year",general-english-advanced-english-cefr-c1-064715b,General English - Advanced English (CEFR C1) (064715B),General English - Advanced English - C1,English as Second Language (ESL),"<span style=""color:rgb(41, 41, 41);font-family:&quot;Graphik Web&quot;, Roboto, sans-serif;font-size:14px"">Students can grow their English Language proficiency through the SCU College General English (GE) program. This program will help students develop their English speaking, listening, reading and writing skills while focusing on communicative English. They will improve their skills while putting them into practice in real-world contexts.</span>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '1.0%'}]}]}]","{'id': '1267', 'name': 'Southern Cross University - Gold Coast', 'slug': 'southern-cross-university-gold-coast', 'location': 'Bilinga, Queensland, AU', 'logo': 'https://photos.applyboard.com/schools/000/001/267/logos/small/logo_template.png?1567365998', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/018/545/photos/optimized/southern-cross-university-mural-november2022.webp?1667422083'}"
260272,1 month - 1 year 7 months,2-84 week ESL program,$200 AUD,"$7,793 USD / Year","$24,505 AUD / Year",general-intensive-english-054514e,General Intensive English (054514E),General Intensive English,English as Second Language (ESL),"<p style=""text-align:justify""></p><p style=""text-align:justify"">General Intensive English (GIE) is recommended as the first step in language learning for those just starting out with English. The General Intensive English course focuses on teaching students the practical language skills required in their daily life. The dynamic classes integrate reading, writing, listening and speaking activities to develop English skills rapidly. The Specialised English Classes (SEC) will help students target language skills needed for industry and workplace English language use.<br></p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2103', 'name': 'English Language Schools (ELSIS) - Sydney', 'slug': 'english-language-schools-elsis-sydney', 'location': 'Sydney, New South Wales, AU', 'logo': 'https://photos.applyboard.com/schools/000/002/103/logos/small/ELSIS-LOGO-JANUARY_2022.png?1643394133', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/016/922/photos/optimized/ELSIS_-_Student_with_laptop_-_March_2022.webp?1659728098'}"
89474,1 month - 1 year,1-12 month ESL program,$0 AUD,"$6,505 USD / Year","$24,503 AUD / Year",general-english-059870m-bfd8a3d7-3332-42d0-8299-0645331bbfc4,General English (059870M),General English,English as Second Language (ESL),"<h4>Program Description</h4><div style=""text-align:justify"">The General English course aims to teach you to speak English easily using the correct:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">spelling</li><li style=""text-align:justify"">vocabulary</li><li style=""text-align:justify"">grammar</li><li style=""text-align:justify"">appropriateness</li><li style=""text-align:justify"">intonation</li><li style=""text-align:justify"">and with hard work and a bit of luck, pronunciation.</li></ul><div style=""text-align:justify"">The course also aims to teach you to listen to English being spoken by speakers from:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">the United Kingdom</li><li style=""text-align:justify"">the United States and Canada</li><li style=""text-align:justify"">Australia and New Zealand</li><li style=""text-align:justify"">Ireland</li><li style=""text-align:justify"">South Africa</li></ul><div style=""text-align:justify"">and all the parts of the world where our students come from.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">The course also aims to teach you to read English in common contexts:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">magazines</li><li style=""text-align:justify"">subtitles</li><li style=""text-align:justify"">labels</li><li style=""text-align:justify"">advertising</li><li style=""text-align:justify"">instructions</li><li style=""text-align:justify"">newspapers</li><li style=""text-align:justify"">short stories</li><li style=""text-align:justify"">forms</li><li style=""text-align:justify"">surveys</li><li style=""text-align:justify"">social media</li><li style=""text-align:justify"">lyrics</li><li style=""text-align:justify"">signage</li></ul><div style=""text-align:justify"">The course aims to teach you to write English clearly and in the English format. For academic writing we recommend you enroll in our EAP course or IELST course after you have been assessed as upper intermediate. Writing includes:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">addresses</li><li style=""text-align:justify"">emails</li><li style=""text-align:justify"">text messages</li><li style=""text-align:justify"">business letters</li><li style=""text-align:justify"">your resume</li><li style=""text-align:justify"">short stories</li></ul><div style=""text-align:justify"">Finally, the General English course aims to teach you the English culture. Topics that are okay in some languages are not okay in English. Most English colleges forget to teach culture or only do so in a random way. At Mercury, this is part of our General English course. The academic culture that you need for university, is found in our EAP course and also our IELTS course.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1320', 'name': 'Mercury Colleges - Adelaide', 'slug': 'mercury-colleges-adelaide', 'location': 'Adelaide, South Australia, AU', 'logo': 'https://photos.applyboard.com/schools/000/001/320/logos/small/Mercury_logo_2.png?1570296676', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/008/875/photos/optimized/Mercury-Colleges-Graduates-September2020.webp?1659716591'}"
266495,1 - 3 months,4 - 12 week ESL program,$0 AUD,"$3,076 USD / Year","$24,505 AUD / Year",cambridge-cae-c1-advanced-0100814,Cambridge CAE - C1 Advanced (0100814) ,Cambridge - C1 Advanced,English as Second Language (ESL),"<div style=""text-align:justify"">The purpose of the Cambridge CAE – C1 Advanced course is to provide students with the skills and knowledge that are necessary for taking the Cambridge C1 Advanced exam. In the Cambridge CAE – C1 Advanced course, students will:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">Master the C1 Advanced test format and the requirements for each section of the exam</li><li style=""text-align:justify"">Study complex grammatical structures</li><li style=""text-align:justify"">Increase advanced vocabulary on a selection of relevant topics</li><li style=""text-align:justify"">Improve pronunciation features</li><li style=""text-align:justify"">Practice reading, writing, listening and speaking</li><li style=""text-align:justify"">Study techniques to succeed in the Reading &amp; Use of English, Listening, Writing and Speaking sections of the exam</li><li style=""text-align:justify"">Learn functional language for everyday living in Australia</li></ul><div style=""text-align:justify"">&nbsp;</div><div style=""text-align:justify"">The course provides opportunities for students to learn, make errors, receive feedback and engage in authentic, functional and practical lessons.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2146', 'name': 'Universal English', 'slug': 'universal-english', 'location': 'Melbourne, Victoria, AU', 'logo': 'https://photos.applyboard.com/schools/000/002/146/logos/small/Universal_English_Logo_March_2022.png?1648493328', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/017/203/photos/optimized/Univeral_-_Lounge_-_April_2022.webp?1659728433'}"
285034,1 - 11 months,5 to 50 week general english program,$0 AUD,"$9,228 USD / Year","$24,505 AUD / Year",general-english-intermediate-english-cefr-b2-064715b-c44dd9a8-aa11-490b-8ff5-b3ffd6d48441,General English - Intermediate English (CEFR B2)(064715B),General English - Intermediate English - B2,English as Second Language (ESL),"Students can grow their English Language proficiency through the SCU College General English (GE) program. This program will help students develop their English speaking, listening, reading and writing skills while focusing on communicative English. They will improve their skills while putting them into practice in real-world contexts.","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '1.0%'}]}]}]","{'id': '1266', 'name': 'Southern Cross University - Lismore', 'slug': 'southern-cross-university-lismore', 'location': 'East Lismore, New South Wales, AU', 'logo': 'https://photos.applyboard.com/schools/000/001/266/logos/small/logo_template.png?1567363979', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/018/549/photos/optimized/southern-cross-universty-learning-centre-november2022.webp?1667422654'}"
270164,3 months - 1 year,10-50 week ESL program,$0 AUD,"$9,533 USD / Year","$24,505 AUD / Year",direct-entry-program-5281b910-006e-4ba3-a9fb-9e792fefd2be,Direct Entry Program,Direct Entry Program,English as Second Language (ESL),"<div>In the Direct Entry Program, students will build their English language skills in reading, writing, listening and speaking. At the higher levels, students will practise academic skills that will help them succeed in their studies at diploma, bachelor, or master level. In the final 10 weeks, students will attend lectures, participate in class tutorials, and complete essays and a research assignment - to prepare them for their studies at Griffith University.</div><div><br></div><div>The Direct Entry Program is available to students who either fall below the direct English language proficiency requirements for academic programs at Griffith University, as well as those who do not have test scores. For students who do not have English scores available, Griffith University offers a free English test to assess their current English level.</div><div><br></div><div>The Direct Entry Program is offered in 10 week intervals. The length of study is dependent upon the student's current English level.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2122', 'name': 'Griffith University - Nathan', 'slug': 'griffith-university-nathan', 'location': 'Nathan, Queensland, AU', 'logo': 'https://photos.applyboard.com/schools/000/002/122/logos/small/griffith-university-stacked-logo-october2022.png?1666963202', 'countryCode': 'AU', 'headerImage': 'https://photos.applyboard.com/school_photos/000/017/315/photos/optimized/Griffith-University-Nathan-Campus1-May2022.webp?1659728662'}"
