id,programCardDuration,programPreviewDuration,formattedApplicationFee,formattedTuition,formattedCostOfLiving,slug,name,shortName,programLevel,programSummary,requirements,school
289224,2 months,6 week ESL program,£0 GBP,"$2,884 USD / Year","£12,276 GBP / Year",cele-preparatory-english-pg-bs-6-week,CELE Preparatory English PG BS (6 week) ,Preparatory English PG BS,English as Second Language (ESL),"<div>CELE is part of the School of Education, which is in the top 50 worldwide in the QS World University Rankings by Subject 2022.&nbsp;</div><div><br></div><div>CELE plays a central role in the university by preparing students for the demands of academic study in a range of disciplines at all levels and supporting students during their studies. The programmes develop students' academic and language skills and also introduces them to research methodology, critical thinking and learner autonomy.&nbsp;</div><div><br></div><div>University of Nottingham is&nbsp; accredited by the British Council for the teaching of English in the UK which ensures high-quality teaching, facilities and support. Their strengths were recognised in course design, quality management, learning resources and the experience, skills and knowledge of the teaching team.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2351', 'name': 'University of Nottingham - Jubilee', 'slug': 'university-of-nottingham-jubilee', 'location': 'Nottingham, East Midlands, GB', 'logo': 'https://photos.applyboard.com/schools/000/002/351/logos/small/Nottingham-logo_template.png?1675459059', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/018/916/photos/optimized/nottingham-jubilee4-01_2023.webp?1674589995'}"
289228,2 months,6 week ESL program,£0 GBP,"$2,884 USD / Year","£12,276 GBP / Year",cele-preparatory-english-pg-bs-6-week-289228,CELE Preparatory English PG BS (6 Week),Preparatory English PG BS,English as Second Language (ESL),"<div>CELE is part of the School of Education, which is in the top 50 worldwide in the QS World University Rankings by Subject 2022.&nbsp;</div><div><br></div><div>CELE plays a central role in the university by preparing students for the demands of academic study in a range of disciplines at all levels and supporting students during their studies. The programmes develop students' academic and language skills and also introduces them to research methodology, critical thinking and learner autonomy.&nbsp;</div><div><br></div><div>University of Nottingham is&nbsp; accredited by the British Council for the teaching of English in the UK which ensures high-quality teaching, facilities and support. Their strengths were recognised in course design, quality management, learning resources and the experience, skills and knowledge of the teaching team.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '1.0%'}]}]}]","{'id': '2352', 'name': 'University of Nottingham - Sutton Bonington', 'slug': 'university-of-nottingham-sutton-bonington', 'location': 'Leicestershire, East Midlands, GB', 'logo': 'https://photos.applyboard.com/schools/000/002/352/logos/small/Nottingham-logo_template.png?1675459100', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/018/918/photos/optimized/nottingham-sutton-01-2023.webp?1674590278'}"
255865,1 - 11 months,1-11 month ESL program,£0 GBP,"$6,899 USD / Year","£9,207 GBP / Year",general-english-for-international-students,General English for International Students,General English for International Students,English as Second Language (ESL),"<p style=""text-align:justify"">This course is intended for students that want to improve their general English. Cardiff and Vale College offers programmes to support a range of English language levels, from beginner to higher intermediate (CEFR A2-C2). Each course follows the four key language skills of speaking, writing, reading and listening, as well as grammar, vocabulary and cultural aspects of the language. Students will not only develop their proficiency in the English language, but also their confidence to communicate and use English in the real world.<br></p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1999', 'name': 'Cardiff and Vale College - Barry', 'slug': 'cardiff-and-vale-college-barry', 'location': 'Barry, Wales, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/999/logos/small/Cardiff-and-Vale-College-Logo-Jan2022.png?1641314095', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/016/215/photos/optimized/Cardiff-and-Vale-College-Building-Floral-Jan2022.webp?1659727050'}"
284135,3 years 11 months,11 month pathway program (international foundation year) followed by a 3 year bachelor's degree with optional virtual internship,£0 GBP,"$19,584 USD / Year","£12,276 GBP / Year",3-term-pathway-foundation-certificate-for-business-law-or-finance-continue-to-bachelor-of-arts-honours-criminology-with-law,"3-Term Pathway - Foundation Certificate for Business, Law or Finance - Continue to Bachelor of Arts (Honours) - Criminology with Law ",Criminology - Law,1-Year Post-Secondary Certificate,"<ul style=""margin-right:0px;margin-bottom:0px;margin-left:1.5rem;-webkit-font-smoothing:antialiased;padding:0px;list-style-type:none;position:relative;color:rgb(51, 51, 51);font-family:&quot;PT Sans&quot;, &quot;Lucida Sans Unicode&quot;, &quot;Lucida Grande&quot;, sans-serif;font-size:16px""><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">In this course, students will enrich this learning of criminology by studying law as a complementary subject. They'll investigate law-breaking and the construction of legal systems, criminal law and legal evidence, along with the often-emotive issues surrounding crime, punishment and justice.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">Studying criminology gives graduates a deep understanding of crime which complements and contextualises legal study – useful for those looking to work in the criminal justice system and other related services.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">Students learn from research-active social scientists in fields including society and social formation, social anthropology, criminology, cultural diversity and social welfare.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:0px"">This course is ranked 14th in its subject area according to the 2022 Guardian League Tables. Graduates will be career-ready with 85% of our graduates in employment or further study after 15 months.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:0px""><br></li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">Students can choose from either a 30-week ‘sandwich’ placement or a shorter four-week placement to provide important work experience</li></ul>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '60.0%'}]}]}]","{'id': '1760', 'name': 'Bournemouth University International College', 'slug': 'bournemouth-university-international-college', 'location': 'Bournemouth, South West, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/760/logos/small/Kaplan-International-Pathways-Logo-Jan2021.png?1612363845', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/009/657/photos/optimized/Bournemouth_University_International_College_03.webp?1659717549'}"
296023,1 year,1 year master's program,£0 GBP,"$21,293 USD / Year","£12,276 GBP / Year",master-of-arts-photography-296023,Master of Arts - Photography,Photography,Master's Degree,"<p style=""box-sizing:inherit;margin:30px 0px 0px;max-width:870px"">Students will enhance their skills, broaden their scope and refine their style as a photographer on our MA Photography degree course at UCA Farnham.</p><p style=""box-sizing:inherit;margin:30px 0px 0px;max-width:870px"">This course will encourage them to be bold, both in their work and the way in which they display it. Students will be encouraged to speculate, experiment and add complexity to their projects, using UCA's extensive facilities to help them realise their ideas.<br style=""box-sizing:inherit;margin:0px""><br style=""box-sizing:inherit;margin:0px"">We also focus on the dissemination, exhibition and publication of photographic work, as well as covering critical theory and reading and writing about the image.<br style=""box-sizing:inherit;margin:0px""><br style=""box-sizing:inherit;margin:0px"">With a balance of support that will develop their practical skills and foster a high standard of diverse critical approaches, students will respond to the diverse field of contemporary photography and explore practices of representation that engage with the still and moving image, as well as performance and installation.<br style=""box-sizing:inherit;margin:0px""><br style=""box-sizing:inherit;margin:0px"">Their studies will be supported by a number of internationally renowned staff in a department that encourages experimentation. This will help students to establish themselves as a rounded professional who can formulate ideas in a sophisticated framework, whilst also communicating impactfully with others, both visually and verbally.<br style=""box-sizing:inherit;margin:0px""><br style=""box-sizing:inherit;margin:0px"">Wherever their career aspirations lie - from fashion to fine art, editorial to curation - we place a strong emphasis on publication, empowering them to find creative ways to disseminate their work beyond the academic context.&nbsp;</p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': ""4-Year Bachelor's Degree""}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1872', 'name': 'University for the Creative Arts (UCA) - Farnham Campus', 'slug': 'university-for-the-creative-arts-uca-farnham-campus', 'location': 'Farnham, South East, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/872/logos/small/University-for-the-Creative-Arts-Logo-September2020.png?1620306356', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/014/892/photos/optimized/University-for-the-Creative-Arts-Farnham-digital-studio-September2020.webp?1659725170'}"
315779,4 years,3 year bachelor's degree plus a placement year,£0 GBP,"$19,347 USD / Year","£16,008 GBP / Year",bachelor-of-science-honours-biomedical-science-with-placement-5895,Bachelor of Science (Honours) - Biomedical Science (With Placement) (5895),Biomedical Science,3-Year Bachelor's Degree,"<p>This Biomedical Science course is tailored for students, who are eager to excel in various biomedical science domains, from clinical pathology services in the NHS or private sector to cutting-edge research and the pharmaceutical industry, and even those considering a future in medicine post-graduation. What distinguishes LSBU is not only the distinctive approach but also the dynamic team of educators who collectively contribute a wealth of experience, encompassing research and clinical expertise, and collaborate closely with employers to ensure that curriculum remains highly pertinent to the continuously evolving job landscape.</p><p>This program is accredited by the Institute of Biomedical Science (IBMS). The core focus of course lies in nurturing students with vital practical skills and knowledge, equipping them for successful careers in their chosen sectors, whether it's healthcare settings as biomedical scientists, research, or industry roles. The team is incredibly diverse, with each colleague's unique skills and knowledge complementing one another, spanning from research to clinical expertise, all aimed at achieving the best outcomes for students.</p><p>The course provides an integrated approach towards understanding and in-depth knowledge of human health and disease, with embedded employability skills to meet the HCPC standards of proficiency. Students will acquire knowledge, intellectual and practical skills to understand human disorders and means of disease diagnosis and treatment through laboratory testing.</p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 1'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '1.0%'}]}]}]","{'id': '1781', 'name': 'London South Bank University - Southwark Campus', 'slug': 'london-south-bank-university-southwark-campus', 'location': 'London, Greater London, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/781/logos/small/London-South_Bank_University_Logo_April2021.png?1617712692', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/014/209/photos/optimized/London-South-Bank-University-Business-school-Jan2021.webp?1659724072'}"
207964,3 years 11 months - 4 years 1 month,11-13 month pathway program (international foundation year) followed by 3 years of bachelor's degree completion,£0 GBP,"$29,214 USD / Year","£12,180 GBP / Year",3-5-term-pathway-foundation-certificate-for-science-and-engineering-continue-to-bachelor-of-science-honours-geophysics-physics,3.5-Term Pathway - Foundation Certificate for Science and Engineering - Continue to Bachelor of Science (Honours) - Geophysics - Physics,Geophysics - Physics,3-Year Bachelor's Degree,"<h4>Program Description</h4><div>Discover how planet Earth works and how humans use physics to image its static and dynamic subsurface, from inner core to crust.</div><div><br></div><div>This University of Liverpool programme provides training in the principles and practice of geophysics with an emphasis on pure and practical physics. High-level training is given in geophysics with supporting physics, providing classical physics training to second year university level, and includes university training in geoscience and mathematics. This degree opens up a range of careers in geoscience. The programme is particularly strong for careers in geophysical data analysis, and research areas related to global geophysics and planetary science.</div><div><br></div><div>The programme will cover core topics in physics, geophysics, geoscience and mathematics, plus a choice of advanced modules in geophysics. Major features include training in practical geophysics, exploration geophysics (particularly seismology), planetary-scale geophysics and geophysical inverse theory.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1789', 'name': 'University of Liverpool - Kaplan', 'slug': 'university-of-liverpool-kaplan', 'location': 'Liverpool, North West, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/789/logos/small/Kaplan-International-Pathways-Logo-Jan2021.png?1612363559', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/014/228/photos/optimized/University-Livepool-Campus-February2021.webp?1659724090'}"
107103,1 month - 1 year,1-12 month ESL Program,£0 GBP,"$10,136 USD / Year","£15,180 GBP / Year",general-english-ielts-preparation-course,General English + IELTS Preparation Course,General English,English as Second Language (ESL),"<h4 style=""text-align: justify;""></h4><p style=""text-align: justify;"">This intensive course combines General English in the mornings (15 hours per week) with the IELTS exam preparation in the afternoons (6 hours per week). In the morning class students will be working on their reading, writing, listening and speaking skills as well as vocabulary, grammar and pronunciation. The focus of the afternoon classes will be the IELTS exam techniques and strategies for each component of the IELTS exam. IELTS is a widely accepted qualification for university entrance internationally.</p><p style=""text-align: justify;"">For General English students are placed in class according to their level: B1 (intermediate), B2 (upper-intermediate) or C1 (advanced). For IELTS students are placed in a mixed-level group.</p><p style=""text-align: justify;"">Students on this course have access to extra-curricular activities provided by Regent’s University London (e.g. trips to London sights, English conversation club, sports, taster lectures etc.) as well as the University's facilities (Regent’s library and self-study areas, refectory, café etc). In autumn 2020, extra-curricular activities will be delivered online and access to some parts of the campus may be restricted.</p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1721', 'name': ""Regent's University London"", 'slug': 'regent-s-university-london', 'location': 'London, Greater London, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/721/logos/small/Regents-University-London-Logo-November2021_%281%29.png?1636639161', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/015/878/photos/optimized/Regents-University-London-Reid-Hall-November2020.webp?1659726636'}"
284141,4 years 1 month,13 month pathway program (international foundation year) followed by a 3 year bachelor's degree with optional virtual internship,£0 GBP,"$24,171 USD / Year","£12,276 GBP / Year",3-5-term-pathway-foundation-certificate-for-computing-continue-to-bachelor-of-arts-honours-criminology-with-law,3.5-Term Pathway - Foundation Certificate for Computing - Continue to Bachelor of Arts (Honours) - Criminology with Law ,Criminology - Law,1-Year Post-Secondary Certificate,"<ul style=""margin-right:0px;margin-bottom:0px;margin-left:1.5rem;-webkit-font-smoothing:antialiased;padding:0px;list-style-type:none;position:relative;color:rgb(51, 51, 51);font-family:&quot;PT Sans&quot;, &quot;Lucida Sans Unicode&quot;, &quot;Lucida Grande&quot;, sans-serif;font-size:16px""><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">In this course, students will enrich this learning of criminology by studying law as a complementary subject. They'll investigate law-breaking and the construction of legal systems, criminal law and legal evidence, along with the often-emotive issues surrounding crime, punishment and justice.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">Studying criminology gives graduates a deep understanding of crime which complements and contextualises legal study – useful for those looking to work in the criminal justice system and other related services.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">Students learn from research-active social scientists in fields including society and social formation, social anthropology, criminology, cultural diversity and social welfare.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:0px"">This course is ranked 14th in its subject area according to the 2022 Guardian League Tables. Graduates will be career-ready with 85% of our graduates in employment or further study after 15 months.</li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:0px""><br></li><li style=""-webkit-font-smoothing:antialiased;margin-bottom:12px"">Students can choose from either a 30-week ‘sandwich’ placement or a shorter four-week placement to provide important work experience</li></ul>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '60.0%'}]}]}]","{'id': '1760', 'name': 'Bournemouth University International College', 'slug': 'bournemouth-university-international-college', 'location': 'Bournemouth, South West, GB', 'logo': 'https://photos.applyboard.com/schools/000/001/760/logos/small/Kaplan-International-Pathways-Logo-Jan2021.png?1612363845', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/009/657/photos/optimized/Bournemouth_University_International_College_03.webp?1659717549'}"
255874,1 - 11 months,1-11 month ESL program,£0 GBP,"$9,199 USD / Year","£9,207 GBP / Year",general-english-for-international-students-9d58a542-6d0f-4547-8d01-d5c7ae516cd0,General English for International Students,General English for International Students,English as Second Language (ESL),"<p></p><p>This course is intended for students that want to improve their general English. We offer programmes to support a range of English language levels, from beginner to advanced (CEFR A2-C2). Each course follows an integrated skills syllabus which covers the four key language skills of speaking, writing, reading and listening, as well as grammar, vocabulary and cultural aspects of the language. You will not only develop your proficiency in the English language, but also your confidence to communicate and use English in the real world.<br></p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '2015', 'name': 'Cardiff and Vale College - Sophia Gardens', 'slug': 'cardiff-and-vale-college-sophia-gardens', 'location': 'Cardiff, Wales, GB', 'logo': 'https://photos.applyboard.com/schools/000/002/015/logos/small/Cardiff-and-Vale-College-Logo-Jan2022.png?1641314127', 'countryCode': 'GB', 'headerImage': 'https://photos.applyboard.com/school_photos/000/016/240/photos/optimized/Cardiff-and-Vale-College-Building-Floral-Jan2022.webp?1659727120'}"
