id,programCardDuration,programPreviewDuration,formattedApplicationFee,formattedTuition,formattedCostOfLiving,slug,name,shortName,programLevel,programSummary,requirements,school
3135,3 months,10 week ESL program,$200 USD,"$4,500 USD / Year","$14,507 USD / Year",english-as-a-second-language-intensive-f3625faf-e89e-4d6e-84d7-e3141a500fdc,English as a Second Language - Intensive,English as a Second Language,English as Second Language (ESL),"<p>

</p><p title=""""></p>
<h4 title="""">Program Description&nbsp;</h4>Prepare for university-level study, career advancement, or for the accomplishment of personal goals in our CEA-accredited, academically oriented 10-Week Intensive English as a Second Language Program.<p></p><p></p><p title="""">Benefits:</p><p></p><ul><li>Experience a program trusted for more than 35 years to support you in achieving your academic, career, and personal goals</li><li>Learn with dedicated, highly-trained teachers with an average of 16 years of teaching experience who are committed to maintaining the highest standards of student achievement</li><li>Attend small classes – usually about 16 students</li><li>Benefit from engaging, interactive classes with a rigorous curriculum that emphasizes authentic language use in academic, business, and social contexts</li><li>Advance your skills in upper-level elective classes in topics such as idioms, advanced pronunciation, advanced conversation, business English, advanced vocabulary, advanced grammar, and iBT and IELTS preparation</li><li>Practice your English and learn about campus life with a UCI undergraduate friend through The Communication Club</li><li>Learn using state-of-the-art technology and methodologies</li><li>Prepare to score higher on the TOEFL and IELTS tests</li></ul>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '67', 'name': 'University of California, Irvine', 'slug': 'university-of-california-irvine', 'location': 'Irvine, California, US', 'logo': 'https://photos.applyboard.com/schools/000/000/067/logos/small/52357ee9e65d65c8b9d76f57e613d76c.png?1514655143', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/013/979/photos/optimized/University-of-California-Irvine-Aerial-July2020.webp?1659723838'}"
240222,2 months - 1 year 2 months,2-14 month ESL program,$100 USD,"$12,320 USD / Year","$12,000 USD / Year",intensive-academic-english-program,Intensive Academic English Program,Intensive Academic English Program,English as Second Language (ESL),"<h4>Program Description</h4><div style=""text-align:justify""><div>The curriculum of the Intensive English Program consists of seven proficiency levels from high-beginning to pre-university. Classes are limited in number of students. As a general rule, the lower the proficiency level, the fewer students per class. Classes meet during four periods each day, Monday through Friday. Each student has classes with an emphasis on English Structure (Grammar), Writing and Composition (Rhetoric), Reading and Vocabulary, Listening and Conversation.</div><div><br></div><div>Elective classes vary from term to term. Recent offerings have included photography, internet English, American movies, music, and art. Provision is made for TOEFL preparation, and classes assist students in pronunciation, test-taking strategies, US culture orientation, and university study skills. Daily assignments are given for all classes.</div><div><br></div><div>Quizzes and examinations are given regularly. The A, B, C, F grading system is used. A grade of NP is given to students who have not improved enough to go on to the next level of study. All grades are recorded on the ELI Certificate of Attendance issued to each student at the end of the term. The faculty also presents special certificates and awards to students selected for outstanding academic and cultural contributions to the program.</div></div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '1835', 'name': 'University of Tennessee Knoxville', 'slug': 'university-of-tennessee-knoxville', 'location': 'Knoxville, Tennessee, US', 'logo': 'https://photos.applyboard.com/schools/000/001/835/logos/small/logo_u_of_tennessee.png?1616517842', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/015/514/photos/optimized/University_of_Tennessee_Knoxville_Campus_July_2021_%281%29.webp?1659726047'}"
4536,2 months - 1 year 8 months,2-20 month ESL program,$30 USD,"$10,219 USD / Year","$12,412 USD / Year",english-as-a-second-language-undergraduate-8bcacede-4c4d-4427-bda2-c3188be1b107,English as a Second Language (Undergraduate),English as a Second Language,English as Second Language (ESL),"<p>Program Description</p><p style=""padding:0px;margin-right:0px;margin-bottom:1.25rem;margin-left:0px;line-height:27px;text-rendering:optimizelegibility"">The ESL Center offers a unique, intensive language program with a variety of classes&nbsp;designed to complement each other as well as provide in-depth English language instruction. The intensive program consists of seven-week-long modules and allows students to develop those language skills needed in an academic environment as measured by standardized tests such as TOEFL.</p><p style=""padding:0px;margin-right:0px;margin-bottom:1.25rem;margin-left:0px;line-height:27px;text-rendering:optimizelegibility"">All full-time students will enroll in five different courses during each seven-week module. All students in level 1-7 take the core courses (reading, writing, listening, grammar and speaking). Students in levels 8-10 may take a transition course in&nbsp;place of one of the core courses. Level 8-10 students also have the option of adding a standardized test preparation course (IELTS or TOEFL) to their class schedule.</p><p style=""padding:0px;margin-right:0px;margin-bottom:1.25rem;margin-left:0px;line-height:27px;text-rendering:optimizelegibility"">Initial placement is based on test scores only. Students will automatically advance to the next&nbsp;level through passing grades; they may skip one or several levels through excellent test scores at the end of a 7- week module. All students participate in first-time placement tests as well as in achievement tests after each 7-week module.</p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '0.0%'}]}]}]","{'id': '94', 'name': 'Kent State University - Kent', 'slug': 'kent-state-university-kent', 'location': 'Kent, Ohio, US', 'logo': 'https://photos.applyboard.com/schools/000/000/094/logos/small/logo_template_%283%29_%289%29.png?1643734033', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/008/932/photos/optimized/Kent-State-CampusArch-Septmeber2020.webp?1659716680'}"
43957,2 years,2 year dual high school diploma and associate's degree,$50 USD,"$10,149 USD / Year","$10,011 USD / Year",dual-program-high-school-completion-associate-s-degree,Dual Program - High School Completion & Associate's Degree,High School Completion,2-Year Undergraduate Diploma,"<p><b>International High School Completion</b></p><p>High School &amp; College are combined</p><p>High School Completion at Shoreline provides an alternative way to complete high school and get ahead in your degree. Through this program, students complete dual-credit courses to receive both a high school diploma and a two-year college associate degree.</p><p>There are many benefits to combining a high school degree with an associate degree. Through High School Completion Plus students will:</p><ul><li><b>Get ahead</b> - Students start college earlier and receive both a high school diploma and their associate degree in two years rather than the traditional four years</li><li><b>Save money</b> - Students earn both a high school diploma and an associate degree for the same price as an associate degree</li><li><b>Prepare for transfer</b> - Students earn transferable credit and prepare to transfer to top tier universities such as University of Washington, UC Berkeley, and University of Minnesota</li><li><b>Bypass application requirements</b> - As a transfer student, participants can skip taking the SATs and ACTs when applying to four-year universities</li></ul>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 9'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '530', 'name': 'Shoreline Community College', 'slug': 'shoreline-community-college', 'location': 'Shoreline, Washington, US', 'logo': 'https://photos.applyboard.com/schools/000/000/530/logos/small/Shoreline-Community-College-SCC-Logo-October2020.png?1605808802', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/009/285/photos/optimized/Shoreline-Community-College-SCC-Sign-October2020.webp?1659717127'}"
32713,4 months - 1 year,4-12 month ESL program,$160 USD,"$7,300 USD / Year","$14,000 USD / Year",intensive-english-634f839c-ee36-42b8-a342-4605c8b8077c,Intensive English,Intensive English,English as Second Language (ESL),"<h4 title="""">Program Description</h4><div>Best suited for students who wish to improve their English as quickly as possible. This includes students seeking fluency for entry into a U.S. college, university or conversational use in a professional setting.</div><div><br></div><div>Program covers all of the major language skills including: grammar, vocabulary, conversation, pronunciation, listening comprehension, reading, and writing.</div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '303', 'name': 'American English College - Branch Campus', 'slug': 'american-english-college-branch-campus', 'location': 'Rowland Heights, California, US', 'logo': 'https://photos.applyboard.com/schools/000/000/303/logos/small/logo_template.png?1563473747', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/009/588/photos/optimized/American_English_College_-Campus-December2020.webp?1659717474'}"
7571,2 months - 1 year 4 months,2-16 month ESL program,$60 USD,"$11,000 USD / Year","$12,000 USD / Year",intensive-english-program-premier-immersion-english-language-program,Intensive English Program - Premier Immersion English Language Program,Premier Immersion English Language Program,English as Second Language (ESL),"The Intensive English Program is an ESL academic program operating in five eight-week sessions during the year and providing college preparation in English language Listening and Speaking, Reading, Writing and Grammar. Most IEP students pursue undergraduate or graduate degrees at Southeast upon completion of the program.","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '172', 'name': 'Southeast Missouri State University', 'slug': 'southeast-missouri-state-university', 'location': 'Cape Girardeau, Missouri, US', 'logo': 'https://photos.applyboard.com/schools/000/000/172/logos/small/southeast.png?1514665562', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/013/671/photos/optimized/Southeast-Missouri-State-University-Classroom-July2020.webp?1659723470'}"
53585,1 - 4 months,1-4 month ESL program,$160 USD,"$1,795 USD / Year","$14,000 USD / Year",toefl-preparation,TOEFL Preparation,Preparation,English as Second Language (ESL),"<h4 title="""">Program Description</h4>This program is best suited for advanced students interested in progressing their English proficiency by improving their TOEFL exam score to meet or exceed US university entrance requirements. Students with no experience with TOEFL exam will greatly benefit from TOEFL Preparation Course. Students will learn important language skills and test-taking strategies for success on the TOEFL Exam. Special emphasis all four skills, specifically listening comprehension, grammar, reading comprehension, and ability to communicate clearly through speech and writing. Students will be prepared for an easy transition into a university classroom in the United States.","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '181', 'name': 'American English College - Main Campus', 'slug': 'american-english-college-main-campus', 'location': 'Monterey Park, California, US', 'logo': 'https://photos.applyboard.com/schools/000/000/181/logos/small/logo_template.png?1563473648', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/009/029/photos/optimized/American-English-College-WelcomeTable-October2020.webp?1659716817'}"
6090,4 months - 1 year,4-12 month ESL Program,$10 USD,"$12,600 USD / Year","$14,000 USD / Year",school-for-the-advancement-of-english-language-and-learning-saell-intensive-english-program-iep,School for the Advancement of English Language and Learning (SAELL) - Intensive English Program (IEP),School for the Advancement of English Language and Learning,English as Second Language (ESL),"<h4 title="""">Program Description</h4><div title="""">The School for the Advancement of English Language and Learning (SAELL) was established in 2013 as a commitment to international students and Northeastern’s goal of having an internationalized curriculum. &nbsp;The mission of SAELL is to holistically build international students’ English proficiency to help them achieve their academic, professional, and personal goals.<br title=""""></div><div title=""""><br title=""""></div><div title=""""><div title="""">In each SAELL level, teachers prepare students for undergraduate and graduate study at Northeastern Illinois University or other higher education institutions. &nbsp;Students complete tasks relating to their future academic study. &nbsp;All courses focus on improving students’ reading, writing, listening, speaking, grammar and vocabulary skills in an integrated manner.</div><div title=""""><br title=""""></div><div title="""">At the BASICS level, students focus on elementary and pre-intermediate use of general English. &nbsp;At the INDEPENDENT 1 level, students focus on English for academic purposes. &nbsp;At the advanced INDEPENDENT 2 and INDEPENDENT 3 levels, students focus on English for academic purposes, content-based instruction, and academic writing.</div><div title=""""><br></div><div title="""">Tuition costs, including fees for SAELL programs are $3600 per semester.</div></div>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '136', 'name': 'Northeastern Illinois University', 'slug': 'northeastern-illinois-university', 'location': 'Chicago, Illinois, US', 'logo': 'https://photos.applyboard.com/schools/000/000/136/logos/small/Northeastern_Illinois_University.png?1522349403', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/013/798/photos/optimized/Northeastern-Illinois-University-Garden-July2020.webp?1659723599'}"
43203,2 months - 1 year,2-12 month ESL program,$100 USD,"$11,990 USD / Year","$18,270 USD / Year",american-language-institute-english-for-academic-preparation-eap,American Language Institute - English for Academic Preparation (EAP),English for Academic Preparation,English as Second Language (ESL),"<div style=""text-align:justify"">Program Description</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">The English for Academic Preparation (EAP) Program gives students an opportunity to study in beautiful San Francisco, California and learn English in an intensive language program that emphasizes university preparation and academic skills. Students of EAP will have:</div><div style=""text-align:justify""><br></div><ul><li style=""text-align:justify"">Well-trained and enthusiastic teachers and small classes with individual attention to all students</li><li style=""text-align:justify"">A curriculum that will give students strategies to understand and use English at an American university</li><li style=""text-align:justify"">TOEFL waivers for qualified students applying to SF State undergraduate degree programs</li><li style=""text-align:justify"">Advisors to help students apply to SF State and assist students with immigration questions, academics and American life</li><li style=""text-align:justify"">A regular program of student activities to help students enjoy San Francisco and American culture</li></ul>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '50.0%'}]}]}]","{'id': '161', 'name': 'San Francisco State University', 'slug': 'san-francisco-state-university', 'location': 'San Francisco, California, US', 'logo': 'https://photos.applyboard.com/schools/000/000/161/logos/small/San_Francisco_State_University.png?1501023752', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/016/851/photos/optimized/San-Francisco-State-University-SF-State-Campus-March_2022.webp?1659728014'}"
211048,4 months - 1 year,4-12 month ESL program,$50 USD,"$9,000 USD / Year","$10,090 USD / Year",center-for-english-language-and-american-culture-intensive-english,Center for English Language and American Culture - Intensive English,Center for English Language and American Culture - Intensive English,English as Second Language (ESL),"Students can choose Center for English Language and American Culture because of :<ul><li>Small class sizes of 10-16 students to assure a better learning environment.</li><li>Easy transition into studies at the University of New Mexico for qualified students who satisfactorily complete full-time studies in Center for English Language and American Culture's Academic Bridge with a 2.5 GPA or better and good academic standing are admissible to full-time UNM undergraduate study without an additional English proficiency exam.</li><li>Highly qualified instructors with ESL teaching experience in the U.S. and abroad.</li><li>A government-approved SEVIS I-20 issuing program for international students seeking F-1 visas.</li><li>On-campus housing and meal plans available.</li><li>Students have access to campus facilities including gymnasium, student health center, library and computer labs.</li><li>Unique cultural experiences in New Mexico with beautiful mountain and desert environment.</li></ul><p><span style=""font-size:13px"">Intensive English courses support students to develop skills to succeed in a wide variety of academic studies or professional settings in English speaking countries around the world.</span><br></p>","[{'type': 'sectionHeader', 'value': 'Academic Background'}, {'type': 'cardSection', 'value': [{'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum Level of Education Completed'}, {'type': 'title', 'value': 'Grade 12 / High School'}]}, {'type': 'card', 'value': [{'type': 'caption', 'value': 'Minimum GPA'}, {'type': 'title', 'value': '63.0%'}]}]}]","{'id': '1809', 'name': 'University of New Mexico - Albuquerque', 'slug': 'university-of-new-mexico-albuquerque', 'location': 'Albuquerque, New Mexico, US', 'logo': 'https://photos.applyboard.com/schools/000/001/809/logos/small/UNM_Logo_Upload_February2021.png?1613154951', 'countryCode': 'US', 'headerImage': 'https://photos.applyboard.com/school_photos/000/014/312/photos/optimized/UNM_Mascot_and_Students_February2021.webp?1659724208'}"
